it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Alismataceae_TS	Alismatales_TS	Archaeozostera_TS	Archaeozostera_lineata_TS	Archaeozostera_longifolia_TS	Archaeozostera_minor_TS	Archaeozostera_pinnata_TS	Cymodocea_TS	Cymodocea_floridana_TS	Cymodocea_maior_TS	Cymodocea_serrulata_TS	Halodule_TS	Heterozostera_chilensis_TS	Heterozostera_nigricaulis_TS	Heterozostera_polychlamys_TS	Heterozostera_tasmanica_TS	Pennipollis_TS	Pennipollis_peroreticulatus_TS	Pennipollis_reticulatus_TS	Posidocea_TS	Posidonia_TS	Posidonia_cretacea_TS	Posidonia_oceanica_TS	Posidonia_parisiensis_TS	Potamogeton_TS	Ruppia_TS	Syringodium_filiforme_TS	Thalassodendron_TS	Thalassodendron_auriculaleporis_TS	Triglochin_TS	Zannichellia_TS	Zostera_kiewiensis_TS	Zostera_nodosa_TS	Zosteraceae_TS	Alismataceae_TE	Alismatales_TE	Archaeozostera_TE	Archaeozostera_lineata_TE	Archaeozostera_longifolia_TE	Archaeozostera_minor_TE	Archaeozostera_pinnata_TE	Cymodocea_TE	Cymodocea_floridana_TE	Cymodocea_maior_TE	Cymodocea_serrulata_TE	Halodule_TE	Heterozostera_chilensis_TE	Heterozostera_nigricaulis_TE	Heterozostera_polychlamys_TE	Heterozostera_tasmanica_TE	Pennipollis_TE	Pennipollis_peroreticulatus_TE	Pennipollis_reticulatus_TE	Posidocea_TE	Posidonia_TE	Posidonia_cretacea_TE	Posidonia_oceanica_TE	Posidonia_parisiensis_TE	Potamogeton_TE	Ruppia_TE	Syringodium_filiforme_TE	Thalassodendron_TE	Thalassodendron_auriculaleporis_TE	Triglochin_TE	Zannichellia_TE	Zostera_kiewiensis_TE	Zostera_nodosa_TE	Zosteraceae_TE
0	-2440.0497368439565	-10.676492931463327	-1628.6231327186545	-800.75011119383885	0.56948796538482949	1.0	1	1	126.437990425	0.0	619.7721452403581	65.938244874999995	27.455211299999998	102.712036625	102.37651517499999	100.29029782500001	102.318520675	101.524328125	38.607387599999996	44.477542100000001	3.9297290500000002	17.495586624999998	44.811283125000003	0.24531457048893321	0.0079868000000000005	0.0084326750000000006	0.010804525000000001	123.22044162499999	109.904527225	126.437990425	48.476272099999996	56.865267750000001	82.056579999999997	3.7964893000000002	64.381937149999999	120.867990775	39.227758600000001	0.021350750000000002	37.694187167395448	45.477147725000002	34.321495219599498	13.890872775	39.931051075000006	62.763605957801857	39.141139950000003	6.8739723000000001	26.115932699999998	79.490875425000013	65.754732225000012	64.920706500000009	68.798136224999993	65.462415524999997	36.163901474999996	41.899818414102789	3.7380349499999999	16.642143375	36.762932699999993	0.0	0.0	0.0	0.0	113.776643175	91.148867985824893	93.152855250000002	46.111575899999998	35.280257025000004	78.053820000000002	3.6112947000000002	29.544661574999999	0.0	6.2044904999999995	0.0	33.598380075000001	40.095875625000005	0.0	0.0	37.983194924999999	59.727663449999994	0.0
1000	-1865.6872574280494	-9.9017056429123667	-1615.1498506564058	-240.63570112873117	0.60671511519376964	1.0	1	1	126.35364645106151	0.0	644.52231762620272	66.961457606480366	27.501293145021627	102.27925661369733	100.55134813944393	99.732316266810258	101.43412839010708	102.72467618267125	39.022287064854616	43.764857801341194	4.3513265374772523	18.108524429103479	45.538232480361096	0.16272827065169637	0.067567955665789103	0.040100283141996762	0.066886065321060784	122.05313156292642	110.38972777671174	126.35364645106151	47.415320135098227	58.433846978196662	80.529187897437595	4.4938036666817052	65.916026055601321	122.75983190153404	40.62185142509108	1.2543133373318156	37.836590802328175	46.309900923176272	34.918852896029826	13.969537221043778	40.194928990989212	63.766940195108873	40.711746401041857	4.740018388925165	26.092898048628896	79.217597974587861	66.043649193745864	64.573361131297162	68.744464658981627	65.462713356857691	35.855489070016169	39.342415899520013	1.3870374444776408	15.691870230281124	36.482158839373348	0.0	0.0	0.0	0.0	115.78205578016502	88.054806115344306	90.354558595469783	46.832596771852948	34.913281693784171	79.490184446180734	3.4504283535780602	29.476750144351364	0.0	3.4454239125304476	0.0	33.329262520874508	38.404440824017875	0.0	0.0	38.336027271035285	60.210363557460354	0.0
2000	-1850.8433602920416	-12.771133275269351	-1595.1302731380638	-242.94195387870832	0.61015144204107807	1.0	1	2	128.05911564741697	0.0	657.80423017314263	68.336101257872755	27.581397487110952	103.20546941299807	102.28935328873419	102.81572254692762	102.25885053911355	100.61491654915814	38.597796299051829	44.468339158317711	4.1511341594932247	17.819315095070504	46.145419998290976	0.036068962307442054	0.012137488581657363	0.011526714945834796	0.17270845545670199	122.41489745112581	108.70068696793727	128.05911564741697	47.60463046018684	56.913899460897476	81.398554373838493	5.1814005614521905	67.660651517100433	119.56899473036393	41.333464929677582	0.11792505310511392	37.516711228316957	46.706661334705068	36.44096693913469	14.427551537191331	40.199161883198492	62.054588818543067	38.398331456941669	2.7914949019965261	26.15282098073039	78.389464393476061	64.876840557807114	64.786767226475519	68.358001765265882	64.471130843712572	34.803369733527745	41.578036383614645	3.6686320005975475	16.611635542261009	35.102521976077611	0.0	0.0	0.0	0.0	115.5326740169271	86.614247429680134	89.13349904089462	46.460771274404571	33.600190243474316	78.811564834372419	3.6044189738365349	28.051146235756491	0.0	3.0273370133168944	0.0	34.188545263516282	38.264360809912077	0.0	0.0	35.694519766968561	60.836230382819302	0.0
3000	-1838.3966749022827	-9.9160973611934473	-1586.2387442361585	-242.24183330493088	0.62737920609195841	1.0	1	1	126.85950276236689	0.0	662.55865278556848	68.886966234955281	26.938129998486417	102.28142646443899	102.87347581554599	100.58334039353572	102.75517421045451	102.47034151582227	39.398007560801553	46.159790197649009	4.114729829446234	17.871559282679293	44.713623124847842	0.0085388778136482636	0.035030888065557486	0.012994575714379397	0.030452659258793591	122.02993066441287	109.05911391747415	126.85950276236689	47.723881193854005	57.529754836601867	81.628284586194326	4.1668391028409628	67.879399364311112	119.57893546299614	42.55248076748078	0.10967135347607593	39.034695171186563	47.612405975527992	36.034137093125096	13.564911333637308	39.705430467210682	61.623611033244345	38.346173947778553	1.6869077990085874	25.311686468434825	77.844038492963321	65.46015609518858	63.362893586984526	67.727243117889145	63.95080367000115	34.794964672080035	42.962901621511328	3.3989690800696426	16.454960130654019	35.32667228002488	0.0	0.0	0.0	0.0	115.38784534935395	84.762429928616797	86.44475992687191	46.972831840445998	34.676877414904986	79.361509904275138	3.4886159756871407	29.423454931056312	0.0	3.4548564618223061	0.0	33.362596194673173	37.99748534250071	0.0	0.0	38.180443495502068	59.818184097146087	0.0
4000	-1844.4027794780184	-16.231222478775859	-1586.8070901925739	-241.36446680666859	0.56726456176681572	1.0	1	3	127.97033846712864	0.0	656.40119041913727	68.1406061766139	27.118717968431206	101.6172420688422	103.39681315239463	100.06754040182047	103.19582064021726	101.02790885537438	37.765618278049573	45.994755812356814	4.0789728280793334	17.196522525369414	44.086206285628386	0.44486233103466144	1.4499231701453277	0.17733328268689591	0.015999191700255877	121.50474099164353	109.67189950675501	127.97033846712864	47.581082323188376	57.975785289213363	80.541993719202893	4.8281253951874206	69.158210307149361	118.92044459116573	40.838339334966037	0.05467922276588863	38.062460371447855	45.369813599080096	37.270149553655088	14.244790383423359	39.023471100904807	61.849966054572398	39.357979504032215	1.2832657599338277	25.147087953991278	79.103784394020479	64.753623524945354	63.925756009744212	67.013667647460878	63.155136454146032	36.848751083104361	42.038462066728158	3.6871878411691812	16.831298120583121	35.704079459454753	0.0	0.0	0.0	0.0	115.40194507679007	86.317767262477105	87.715947703683341	47.150458213375273	32.684075269581172	79.487306965174028	1.6744604516337482	28.196402562025856	0.0	3.5140478069562793	0.0	33.748832431050189	38.202162863923299	0.0	0.0	38.944232939869813	61.068182403267762	0.0
5000	-1852.8713394332246	-9.8808274113256154	-1595.1261098963398	-247.86440212555931	0.5397961977314486	1.0	1	1	126.87822983782075	0.0	682.22797206479231	69.47852739393349	27.70835658290374	102.7980240027117	103.41477360787211	102.51826071048949	104.35018208409248	104.88964489676987	38.259530036959454	44.324280503482392	3.9247989276847259	17.84086489991801	46.42392673853	0.076791187874963279	3.1166908945462284	0.026281558640811858	0.030018364610483531	122.36745198199625	109.38004603054475	126.87822983782075	49.582757810193712	59.508400604913781	80.71348928309385	4.0418028495678424	69.748069555060439	119.73439910950131	42.043099317994837	0.022451950160527673	38.500377028193427	47.263621876549472	38.21269947970729	15.192943746648641	39.326603046793522	61.89438143368654	40.058603207658223	1.4604114117810416	25.004655106466863	78.386136980844128	63.288856726669152	64.352815406639621	65.608500024905581	63.840438322143008	36.69157654624739	41.166647108263021	3.8122388400323004	16.451080159830081	37.304442101160888	0.0	0.0	0.0	0.0	114.66189279563704	85.816019844180133	88.956336767302858	46.444697672825683	32.498527227954817	78.535945694029095	2.1819154852157583	27.325847094161691	0.0	5.3231340702536958	0.0	33.621641072228407	40.399413515190375	0.0	0.0	38.845086445086892	59.444152057263274	0.0
6000	-1856.2270469355972	-9.9116045723590886	-1600.8649654542339	-245.45047690900424	0.54195358860980813	1.0	1	1	128.20903607369303	0.0	702.18154423383578	68.506833161857188	26.954440274936381	103.43143481300768	103.36205850096594	104.20051996750703	103.50543147764567	105.51003155984577	38.068762929069884	43.954227880061033	5.0576170743535567	19.303219993645833	44.95426526535114	0.013579181864792764	4.4508413184765709	0.6393028785446111	0.018672099238597861	121.45096279917523	112.29785719134691	128.20903607369303	47.917360212097968	60.028916499935853	81.117683571348266	3.8093825962921959	67.02077214345158	123.18175303661572	44.844981565360847	1.4534835914454707	37.639318770916709	45.729893918317856	39.385373186262477	18.747438308472404	39.50458616414361	61.542704812664418	39.676139073187052	0.88356856312300025	25.481925574329644	77.166315646774464	64.180126638712366	63.891689877720992	66.235902059835738	62.399349453673715	36.403558179421218	42.689662550185268	2.9207832138762209	14.508376903208237	35.572176960145612	0.0	0.0	0.0	0.0	113.67804438198051	86.399919064125697	87.91633032688901	46.556713581734797	30.039696902115224	79.125867779438963	3.3973579677100929	27.521772116835173	0.0	3.9927664740339219	0.0	34.095449762755365	39.625764847678234	0.0	0.0	37.572540754322198	61.051678076637913	0.0
7000	-1872.9754367556257	-13.151044197143136	-1611.4364393661092	-248.38795319237329	0.584739317484124	1.0	1	2	124.7548368838833	0.0	702.17050389826204	66.478672321226696	27.171185722030433	102.62385321676391	102.7159281166342	104.96958805800891	105.73962427845106	106.6555998045262	38.749908341019939	43.803779151092556	4.6975935372354769	20.336622113466557	46.311456551410465	0.63667460816543253	3.8362313099960121	0.053199966635209317	0.43161417211870262	123.05442604335816	113.1840166054	124.7548368838833	47.452861055301739	59.539066718878871	80.812092625232268	5.0468822889090532	67.882246643590037	120.66302913847855	46.227792670473043	0.41037047930831383	38.125216563524539	46.881958885393772	39.233244503462963	16.916856624320591	39.111257545739356	63.340648286359148	38.858136219943233	1.3358045200655266	25.95298536046025	79.096692129573299	63.844473313139112	62.250496836991395	66.923833439158003	60.661227146114854	36.922226407438501	42.879906108565841	3.3704138903470522	16.029671786304984	35.574793295547451	0.0	0.0	0.0	0.0	114.27014582193009	89.376879527864531	87.278307341043515	46.932009138492809	29.292286462979416	79.235854407679014	1.8288296137150208	27.004338713769858	0.0	4.8258224320630934	0.0	32.173220136868736	38.010638830508121	0.0	0.0	38.497874837335019	60.967235654121104	0.0
8000	-1849.4824553331391	-9.877804633658462	-1593.5646186415686	-246.04003205791196	0.53030368482143686	1.0	1	1	127.91509459613505	0.0	684.74538688955533	66.815152107261426	27.218626942558984	102.23352831413681	102.84629990889094	101.10106926588536	107.64540188301237	101.37805781324418	38.522854953596955	44.252137018117587	3.9771485134212758	18.015747221378753	46.73646521471737	0.031262614346938888	3.9135757961346758	0.023739890374229081	0.020030826167797011	122.61114948098792	112.6417763072581	127.91509459613505	47.324744511197217	58.566750336763583	80.169543339271598	3.7583662002497702	67.129047012727682	118.77029070508181	46.252555459040551	0.22919374080698662	38.937939105087018	46.993905966819639	34.116217816080294	19.098278227077174	39.651928482030307	61.776629835233457	40.199809986052976	2.0381793692069206	26.562442457204298	79.13054954505867	64.887610407541729	64.663474889958252	66.756411170455323	60.759564636200118	36.291256927955224	42.549484408323643	2.5559626613961592	14.647882185811236	36.648739819079438	0.0	0.0	0.0	0.0	115.45591189972907	88.844249663820733	87.107503310462846	47.131504078538654	29.131712673130558	79.662559444510805	3.6383522902233563	24.492662403516157	0.0	4.4652028847291723	0.0	32.898500589611899	39.069706240088017	0.0	0.0	38.640631646066886	58.098876898972321	0.0
9000	-1841.6167214411678	-9.8911596407556139	-1585.0525675409037	-246.67299425950841	0.54160961426762233	1.0	1	1	128.9954861384214	0.0	694.6796414865438	68.262598388603678	26.92722446213903	104.05311090950974	104.85266799074496	101.94616920154175	107.72143320761867	100.59532876921577	38.511434795143302	43.959924848661927	4.0211498528817664	17.39538542799729	45.161057323103961	0.31329389665278773	0.039394997119028052	0.029691491300862238	0.12802196549429262	122.21663564818947	110.88387503037349	128.9954861384214	48.372244054140602	60.498526269576359	80.155410523451195	4.142920104656965	66.107281166646786	118.66065305000551	49.529818961629587	0.75524323891096434	38.806958618774829	45.698863098935533	36.283023261994067	16.792358818616332	39.30468502232894	61.649456884804934	41.399063129496803	0.3678694347710606	26.492159910032058	76.510580237992059	64.580199551903249	64.852228317882464	65.811680437351583	61.035518644327574	35.438242411886378	42.428278691383902	3.6948096507318438	16.699073386603029	36.787073749484847	0.0	0.0	0.0	0.0	113.74726368619788	87.017652804869385	88.19999582060079	46.467528065063497	28.817954202902357	79.759640156689912	2.8637367671280991	25.552739063886779	0.0	2.6924830449225321	0.0	32.406234979224543	37.333187388375158	0.0	0.0	38.854390763191496	61.080227894736218	0.0
