it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Alismataceae_TS	Alismatales_TS	Archaeozostera_TS	Archaeozostera_lineata_TS	Archaeozostera_longifolia_TS	Archaeozostera_minor_TS	Archaeozostera_pinnata_TS	Cymodocea_TS	Cymodocea_floridana_TS	Cymodocea_maior_TS	Cymodocea_serrulata_TS	Halodule_TS	Heterozostera_chilensis_TS	Heterozostera_nigricaulis_TS	Heterozostera_polychlamys_TS	Heterozostera_tasmanica_TS	Pennipollis_TS	Pennipollis_peroreticulatus_TS	Pennipollis_reticulatus_TS	Posidocea_TS	Posidonia_TS	Posidonia_cretacea_TS	Posidonia_oceanica_TS	Posidonia_parisiensis_TS	Potamogeton_TS	Ruppia_TS	Syringodium_filiforme_TS	Thalassodendron_TS	Thalassodendron_auriculaleporis_TS	Triglochin_TS	Zannichellia_TS	Zostera_kiewiensis_TS	Zostera_nodosa_TS	Zosteraceae_TS	Alismataceae_TE	Alismatales_TE	Archaeozostera_TE	Archaeozostera_lineata_TE	Archaeozostera_longifolia_TE	Archaeozostera_minor_TE	Archaeozostera_pinnata_TE	Cymodocea_TE	Cymodocea_floridana_TE	Cymodocea_maior_TE	Cymodocea_serrulata_TE	Halodule_TE	Heterozostera_chilensis_TE	Heterozostera_nigricaulis_TE	Heterozostera_polychlamys_TE	Heterozostera_tasmanica_TE	Pennipollis_TE	Pennipollis_peroreticulatus_TE	Pennipollis_reticulatus_TE	Posidocea_TE	Posidonia_TE	Posidonia_cretacea_TE	Posidonia_oceanica_TE	Posidonia_parisiensis_TE	Potamogeton_TE	Ruppia_TE	Syringodium_filiforme_TE	Thalassodendron_TE	Thalassodendron_auriculaleporis_TE	Triglochin_TE	Zannichellia_TE	Zostera_kiewiensis_TE	Zostera_nodosa_TE	Zosteraceae_TE
0	-1827.2203834051334	-10.143013307397705	-1450.046118692313	-367.03125140542261	0.98679925323740525	1.0	1	1	127.558987825	0.0	627.65919142940754	67.533710670210695	27.370687749999998	106.3706337	98.315423150000001	96.668903125	101.69267309999999	100.806537025	44.025829725000001	39.893064574999997	3.170108725	13.918652325	49.599189325000005	0.0053176999999999999	0.0034809000000000003	0.0077049250000000005	0.0062412249999999996	109.75950715	104.035393625	127.558987825	48.674643424999999	56.514937100000004	82.450015327990684	3.8669754749999998	58.650872075000002	125.980539075	45.994382680030292	0.14054030769548198	37.951115104749775	42.994102650000002	34.950550450000001	12.35646725	41.042178750000005	66.375923974999992	46.016769225000004	5.5316839500000006	26.035532249999999	81.527811299999996	66.106756949999991	67.586960999999988	68.05310265	64.627249050000003	34.466544450000001	37.947061425000001	3.0154692749999996	13.239693675000002	37.842305475000003	0.0	0.0	0.0	0.0	101.17848487500001	91.293694416903136	91.401949274999993	46.300270574999999	34.507525649999998	78.616323824999995	3.6783425250000001	31.84626384436628	0.015963675	6.4981185749999995	0.021647925000000002	35.171290050000003	38.232843674999998	0.023669099999999998	0.051125100000000007	39.040121249999999	63.138074024999995	0.046988175
1000	-1593.762587703852	-9.9157819769335518	-1327.4921925227272	-256.35461320419108	0.63478467993952103	1.0	1	1	130.06785526530169	0.0	638.13069322392766	68.035982460975518	26.795998004075422	108.01249975630306	98.203091631934143	96.733015875187093	100.61667151674479	99.702648059458326	44.349950621359596	39.501115242667403	3.5331471230073683	13.673363754312341	51.588080503514192	0.0066447593671545881	0.60980822784507061	1.8850466118611173	0.038797421743865662	109.32691688426638	103.13287785984056	130.06785526530169	48.183545321525713	58.374089502583537	80.795505323739107	3.9650213344394269	58.438857437892977	123.33842693257627	47.849410671179847	0.048644818706045423	38.000122641859292	44.007603552716965	34.811510845056681	13.092028215798802	40.693077681362965	64.871916585043621	45.955720764593913	3.3627158721131605	26.586591161497033	82.03159220331942	66.453399880258615	66.988336005155617	65.096297385719069	65.384661011192151	33.531013423443802	38.609648019671702	2.1692324274989625	13.385531626271673	35.988907274419446	0.0	0.0	0.0	0.0	101.14154806787333	92.10794128940725	89.750614204192573	47.101428513607686	33.716508139422281	80.503420743172313	3.6166683671034652	30.639303081829983	0.0090505037634508873	5.3571986985894418	0.0019124729944455104	34.363480608678103	37.961669355583496	0.0008655377669459785	0.0050041224646607263	39.535056001670078	64.704685870652938	0.0040181155795341594
2000	-1585.9834289958731	-17.46188066155306	-1318.4287636718886	-250.09278466243131	0.63601624974733506	1.0	2	2	128.00879208267915	0.0	660.49490226265709	68.153100791021814	26.962470016079614	106.21132936672376	96.755833591724951	98.479197417182931	102.78714916146467	102.75555685743184	45.986104255502788	39.065920514887118	3.8186040831557304	13.581918951211549	51.844025991183422	0.39961060700002599	0.048324896891099964	0.013114632395008438	0.15187837363579959	109.48802544735864	103.41192299624234	128.00879208267915	48.51959572736618	59.070686190402	81.140320771082457	4.8026840978260763	58.304540823614381	123.2081701509845	47.390248374269447	0.23203000431294257	38.570303292944097	43.514549674974553	34.565777049198459	12.990806746981255	40.403495920440911	65.948149319103777	46.094350689000557	1.8559336778103379	26.611115130029972	81.961322369413224	65.656459431621414	66.601917445540579	64.401221438476909	63.134677512375426	33.628377277773076	38.680541202460233	2.8576329126689783	13.573816757395313	34.35028840963836	0.0	0.0	0.0	0.0	102.90597805892119	90.684471365909928	86.954120189882119	45.524759035552975	31.515602428424369	79.941963540595367	2.7109562613085862	28.995488020613852	0.0026075136040535768	3.2294846401322759	0.00051698338198964688	34.547277158625	38.023885587285157	0.0008655377669459785	0.021037348297354562	39.223233430498226	64.584671828660944	0.0034641089526422641
3000	-1580.3938998710014	-18.25563366912785	-1314.7425747866762	-247.39569141519746	0.62015084306898938	1.0	1	3	125.88532411502807	0.0	655.86832557126183	68.978699466455524	27.337139793319775	106.69891846459012	97.67232728584078	98.941037720533984	103.26226644322385	101.24689513198396	44.871968643565118	39.237287789141334	3.2720095913982354	13.581918951211549	53.231469692398761	0.21838838683190076	0.12966441725303343	0.0095744462033955455	0.079124564403987269	110.31111616942816	104.15297367891662	125.88532411502807	48.302328901889013	59.415055359370861	81.041909510813667	5.5617965296750427	59.033619216194609	123.49475769158687	48.979279607875654	0.088025022014599441	37.393534905870915	42.824584287201915	34.859560309233551	13.919561770024998	40.901339010785705	64.910100657337253	45.997801772454928	1.5780881446337141	26.436444740065411	82.568097028995354	64.931667757044877	65.547888388307882	63.828151770519447	63.153692393487617	34.316554760750101	38.777997559367101	2.8930550695618082	13.548674213475103	35.700865597549814	0.0	0.0	0.0	0.0	102.00087677618096	91.37453748579938	88.210243999829771	45.861607399933391	34.234029996462411	80.475961409106588	2.702014071229037	30.10158498504325	0.002707136600659063	5.1902258813774704	0.0033736866043517361	35.158031558850453	37.299741767975398	0.0008655377669459785	0.0052185921063945956	39.607513816686911	64.440659368725179	0.022662838759155979
4000	-1591.5621002059158	-17.913993027347157	-1325.6641141051523	-247.98399307341629	0.54932535065232602	1.0	1	3	127.25007931145899	0.0	680.10847303536389	72.263843355036229	26.931788963714776	107.71588039822481	97.431268536955344	100.93467752692737	102.97772324447507	101.13240203320836	44.685642097312723	39.181504619654788	3.2662329347563746	14.830148388646101	56.317451297059733	0.11478999132733952	0.004328520183261333	0.1108514295612384	2.2290703518665724	108.2376403792625	103.0127747994741	127.25007931145899	49.570700869085599	59.691770944899822	81.657802915871073	6.2139347910689597	58.927810318282376	123.99637918519458	49.347685923080661	0.11403921048641102	38.178708086920992	42.611743246054239	37.529139763949665	14.418916422375945	40.54672684318686	64.777949982712272	46.71892721280031	3.4189221364587743	26.431346806090033	80.662209470073265	63.783758541670359	64.053761435773723	62.736675005290628	62.183704431761001	33.890789939761966	38.805626466950891	3.0438523262196369	12.790898395522728	36.3653648269228	0.0	0.0	0.0	0.0	101.95281262619923	90.47664704993322	86.632920835271833	47.244672043992495	33.966710242240609	79.349384807347974	2.6310957129160193	30.988555523896157	0.002707136600659063	3.8264331077686626	0.012015019628868959	35.30505695777078	38.56188818334941	0.010198288877435902	0.0052185921063945956	38.946322788879236	64.735658015399011	0.0066541450379100087
5000	-1578.8188263124925	-20.969682226689446	-1314.0455621551484	-243.80358193065467	0.5452211997152101	1.0	2	3	130.32460983036304	0.0	680.14828215425405	70.829612861299367	26.813539284178088	105.93062174273699	97.628925231838821	102.22120899927698	103.2270413220386	100.82279295079813	45.346850494638488	38.974103151671173	3.3746719445607303	13.954172656718564	55.383620742481106	0.010124136251470298	0.2041881228452482	0.027471822968820669	0.063262002330081613	108.71857504061781	102.88789543676248	130.32460983036304	48.621748840538949	59.586030006348345	81.509261967496599	5.6344070430556412	58.308251320863135	124.23052855276171	48.048536138480991	0.032362970818703818	37.238595707941045	44.109937831582826	35.194239844902576	14.423598168049859	41.046569839064482	64.811685962101606	46.545326582939154	2.5339242644480842	26.598986313669176	79.654258371706888	64.849334317798707	62.862761499514015	62.769451968123406	63.141107208419939	34.610735714318579	38.803548894678592	3.0000818528261597	13.515423903893344	37.542516894766408	0.0	0.0	0.0	0.0	99.899143656557399	89.046492185065034	86.079409208263527	46.765508695053072	32.44719376384532	80.335529251782674	0.95736678034955958	30.294539477068515	0.002707136600659063	3.0422175437754229	0.0082605555599258723	35.634898079002255	38.690446326401563	0.0011244665988149327	0.0071201694106749897	38.123589934813616	64.712029937066532	0.0063780256897180698
6000	-1600.0586369456194	-18.915317665866489	-1330.643414384635	-250.49990489511788	0.5357770327714515	1.0	1	3	128.92607455047602	0.0	700.68439297799682	71.085114433334383	26.755575154392638	104.63235168642193	99.28829147597223	101.92347298016898	103.47364703764796	101.24508577007357	44.61378412848137	38.995382080395125	3.2241711688688106	13.751100325419218	55.373244248455258	0.61166301688393088	0.40618261705193381	2.0254528997072789	0.022120860122469693	108.31108633107576	103.63959881304649	128.92607455047602	48.45756332977215	60.942647227359025	81.956816608821171	9.3003595226835376	58.602338044379245	123.53916062007883	47.916369343699465	0.052911918441118699	38.428430881601251	44.197071058186992	34.304928705966439	13.254643540694676	41.646306841488453	65.15458286271722	48.090791378786442	2.3359332326301083	26.618049991433352	81.603310013680215	64.209167181508647	63.882660537358333	59.386391620485234	63.660356582200748	34.921751514760672	38.87357591695276	3.0068554175483597	13.156262879166125	35.209348755524694	0.0	0.0	0.0	0.0	99.206055308778929	90.859974822115873	84.630663036632072	46.54939799528929	31.597932517332229	78.667151228508601	1.3373662825944765	29.786680607755343	0.0039546988346834538	1.6338300749595012	0.015493154401894041	35.274142417630379	36.78412548720631	0.0048438392354673843	0.01730335832761358	37.379796389875033	62.844309437148809	0.0072441847987933794
7000	-1590.5683572994146	-19.974172899224662	-1322.2315458977591	-248.36263850243085	0.58112501222819002	1.0	2	2	129.38242262775117	0.0	703.25745497881792	69.771568751894023	27.124187201573349	106.72174981994958	97.684070345832467	100.78420285971694	102.13854053736252	103.44337277331057	44.07727335695548	39.149900652104009	3.6454457705219538	15.06315282900294	52.536848842024874	0.017527844842402444	0.12771205073419153	0.013493485105628977	0.035287750979414813	110.18227187038629	102.52264752182141	129.38242262775117	50.544972317905447	59.771291765677383	81.081530143103095	8.0375848338615672	61.374062353449844	123.37114518537977	46.878926966322325	0.071607036205969032	38.507988653163885	43.587027346871103	35.254099860889028	15.073796228766668	42.585432221547528	65.837161206688151	47.351601575241155	0.40527636964193903	26.37169994490521	81.33248211892375	64.764737696495772	63.254155121494925	61.330426309307285	62.909978282964374	33.685203998590175	38.731968724126652	2.1016061063401259	13.112057080587311	35.123167502187123	0.0	0.0	0.0	0.0	101.02125416158371	92.100500037812495	82.368831507216015	43.082541362034043	33.173242048788211	79.43586250275473	1.4956368289502471	30.198191414374278	0.0039546988346834538	0.63363876559075472	0.0021269568102342679	35.360663097933042	37.468125587304222	0.0048438392354673843	0.019779021786863415	37.740446298275792	63.255610143035497	0.0044420802392752534
8000	-1579.165896297457	-17.565943789480208	-1322.9434832281195	-238.65646927985745	0.55176330889911152	1.0	1	2	128.86374479468998	0.0	686.0589442654873	67.775384658349509	27.22829966016057	106.23527447898037	97.735049824642957	98.888422466411441	101.66603525925063	101.93749843586052	43.978846381293927	39.158036671306242	4.1907520851486932	14.127136986004137	52.736802224131473	0.092791565475893178	0.0045530224295424549	0.013369097832821692	0.22491493613234981	108.78687822142491	103.24521680154228	128.86374479468998	49.062631464745891	60.363339006021164	80.806372469950716	7.0100898357077499	60.113109628838515	123.6655057494763	48.824750388906452	0.045861351682701501	38.046444474519561	44.613167966449801	35.31071064242623	13.133488709038232	41.624104538278381	65.628376981142637	45.568943737224437	1.0596349835550503	26.297489468305415	82.621039446856059	64.334064405141618	61.523270031540704	61.192939375234559	61.042377253464345	34.814159471046537	38.245463566067606	0.24886483560002892	13.030589775467286	36.959500614845588	0.0	0.0	0.0	0.0	102.15110885134601	91.278257611731576	82.038862860845711	43.749574557707739	34.304825969396816	80.159646614196006	1.0372133883989192	30.846996742592683	0.0049498924177693998	1.2835431420413861	0.0021516235664467559	35.436354749814228	37.013962052926921	0.0048438392354673843	0.0029153764469048438	39.727030403436657	64.214809004167336	0.020520342596312829
9000	-1593.4596294608164	-17.994895160240034	-1334.3914229741349	-241.0733113264414	0.58443394178832853	1.0	1	2	127.36876608789613	0.0	698.2433317185164	68.25142962543687	27.617725296457351	106.19776263845067	95.998691938255959	98.651614049991224	104.21479206200438	102.76658076433711	44.20402312341885	39.099337367275453	6.1404612863042853	13.680561099109728	50.086965072807288	0.022289832220510175	0.11964478506695805	0.91844111976339882	0.11333962861680122	108.27633336027834	105.20677536709685	127.36876608789613	49.663593917893984	62.331381280771794	81.286168540807779	5.9920318073810144	61.845271977397125	123.664617120681	50.209202583518483	0.073412874453115951	37.465351976192778	42.312504510554497	35.551976670870104	15.505190360273238	40.742438740631925	65.420975144987779	45.540779662982516	1.1483934128237494	24.329296197878456	82.848775665163657	63.902848886361596	59.066196451126935	60.44030000457974	62.125096111222256	34.285990302470758	38.573810860337332	1.5626870897141263	13.436865703045484	36.040982223467225	0.0	0.0	0.0	0.0	102.64124162780031	92.147111122925807	78.680682418686388	45.7227964244669	33.350298513072168	79.936406644241629	1.0193226931089792	30.063188137990728	0.0014693376683568155	1.2655599678610414	0.0015276873039006406	34.119536939884235	38.581950357633829	0.0043430077341345408	0.015598278937960855	39.396991012209341	63.585010379723052	0.0028224962288469491
